iter	Passed	Remaining
338	13692	6422
339	13736	6383
340	13786	6347
341	13825	6306
342	13889	6276
343	13927	6235
344	13965	6193
345	14007	6153
346	14051	6114
347	14093	6074
348	14131	6033
349	14180	5996
350	14222	5956
351	14268	5918
352	14305	5876
353	14342	5834
354	14380	5792
355	14425	5754
356	14464	5712
357	14502	5671
358	14542	5630
359	14583	5590
360	14631	5552
361	14671	5512
362	14712	5471
363	14754	5431
364	14801	5393
365	14845	5354
366	14896	5317
367	14941	5278
368	14990	5240
369	15045	5204
370	15093	5166
371	15138	5127
372	15188	5089
373	15224	5047
374	15268	5008
375	15318	4970
376	15365	4931
377	15404	4890
378	15450	4851
379	15497	4812
380	15536	4770
381	15578	4730
382	15618	4689
383	15662	4649
384	15707	4610
385	15746	4568
386	15792	4529
387	15836	4489
388	15882	4450
389	15924	4409
390	15971	4370
391	16011	4329
392	16054	4289
393	16103	4250
394	16142	4209
395	16187	4169
396	16223	4127
397	16271	4088
398	16308	4046
399	16344	4004
400	16382	3962
401	16419	3921
402	16458	3879
403	16499	3838
404	16535	3797
405	16574	3755
406	16616	3715
407	16666	3676
408	16711	3636
409	16749	3595
410	16788	3553
411	16823	3511
412	16862	3470
413	16898	3428
414	16932	3386
415	16969	3344
416	17013	3304
417	17064	3265
418	17103	3224
419	17147	3184
420	17197	3145
421	17233	3103
422	17272	3062
423	17316	3022
424	17351	2980
425	17394	2939
426	17438	2899
427	17477	2858
428	17515	2817
429	17559	2776
430	17606	2736
431	17640	2695
432	17672	2652
433	17705	2610
434	17733	2568
435	17767	2526
436	17800	2484
437	17834	2443
438	17867	2401
439	17905	2360
440	17939	2318
441	17981	2278
442	18019	2237
443	18050	2195
444	18087	2154
445	18123	2113
446	18159	2071
447	18192	2030
448	18221	1988
449	18258	1947
450	18300	1907
451	18357	1868
452	18391	1827
453	18439	1787
454	18479	1746
455	18514	1705
456	18558	1664
457	18613	1625
458	18652	1584
459	18698	1544
460	18739	1504
461	18776	1463
462	18824	1422
463	18859	1381
464	18895	1340
465	18947	1301
466	18992	1260
467	19043	1220
468	19087	1180
469	19132	1139
470	19177	1099
471	19225	1059
472	19266	1018
473	19304	977
474	19352	937
475	19397	896
476	19438	855
477	19478	814
478	19528	774
479	19577	734
480	19617	693
481	19660	652
482	19715	612
483	19755	571
484	19803	530
485	19842	489
486	19891	449
487	19934	408
488	19981	367
489	20025	326
490	20066	286
491	20116	245
492	20158	204
493	20197	163
494	20239	122
495	20280	81
496	20330	40
497	20370	0
